HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4982,545,2217,357,1377,106,217,549,74,3,2023-02-28-09-48
4705,495,1961,338,1330,102,224,617,73,5,2023-02-28-10-12
4876,483,2133,338,1328,102,256,596,76,4,2023-02-28-10-23
4889,535,2058,322,1327,102,261,627,77,4,2023-02-28-10-35
5063,588,2249,318,1283,100,261,603,75,4,2023-02-28-10-47
4644,584,1782,319,1305,101,265,626,77,5,2023-02-28-10-59
4975,600,2098,318,1287,104,261,652,73,4,2023-02-28-11-12
5036,622,2164,319,1231,105,274,671,69,5,2023-02-28-11-25
4938,920,1582,280,1041,103,436,880,73,6,2023-02-28-11-45
4935,1198,1260,284,901,101,527,934,91,24,2023-02-28-12-05
4951,1212,1259,283,910,101,518,940,87,25,2023-02-28-12-19
4939,1402,955,219,827,103,628,1011,91,25,2023-02-28-12-33
5083,1351,1052,240,893,98,663,1025,71,28,2023-02-28-13-04
4999,942,1653,308,1144,113,416,749,72,23,2023-02-28-13-25
4894,760,1778,307,1355,109,354,573,71,3,2023-02-28-13-37
4728,716,1643,299,1369,108,357,565,74,4,2023-02-28-13-58
4862,677,1870,326,1382,109,350,503,77,3,2023-02-28-14-10
4964,714,1974,344,1379,105,331,492,71,3,2023-02-28-14-23
5020,710,2015,334,1352,103,342,525,73,3,2023-02-28-14-36
4799,650,1812,333,1356,102,356,539,83,3,2023-02-28-14-49
4875,607,1841,335,1394,99,391,552,87,3,2023-02-28-15-10
4449,666,1636,321,1159,103,342,553,89,4,2023-02-28-15-27
4921,695,1864,320,1245,102,419,607,88,3,2023-02-28-15-41
4947,748,1811,358,1178,115,416,698,93,3,2023-02-28-15-56
4553,665,1671,283,1061,99,342,707,104,3,2023-02-28-16-07
4825,734,1851,322,1068,98,401,664,104,3,2023-02-28-16-20
5065,773,1871,367,1076,102,467,786,89,3,2023-02-28-16-33
4814,1194,1167,228,632,73,752,948,112,9,2023-02-28-17-18
4951,1312,1054,213,617,67,789,1054,116,9,2023-02-28-17-33
4844,1456,825,181,584,54,838,1003,121,17,2023-02-28-17-48
4860,1525,817,162,574,51,874,926,125,19,2023-02-28-18-05
4825,1346,957,179,601,71,842,913,135,31,2023-02-28-18-22
4774,1242,1069,184,637,91,859,839,120,8,2023-02-28-18-38
4719,1250,1058,183,648,104,717,924,118,4,2023-02-28-18-52
