HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4182,976,1488,264,612,68,643,276,162,25,2023-03-18-10-23
4235,979,1499,267,608,67,680,278,166,25,2023-03-18-10-35
4222,905,1498,267,600,66,737,288,170,24,2023-03-18-10-47
4439,943,1509,265,598,68,875,334,157,23,2023-03-18-11-00
4318,909,1502,263,572,65,796,359,158,22,2023-03-18-11-13
4195,898,1432,257,532,62,734,401,154,44,2023-03-18-11-26
4551,1003,1357,263,490,64,1021,497,158,25,2023-03-18-11-53
4267,1019,1320,249,467,59,823,471,146,21,2023-03-18-12-06
4197,1051,1261,211,481,57,752,486,146,20,2023-03-18-12-20
4134,1047,1271,221,485,57,680,489,142,20,2023-03-18-12-35
4283,1030,1280,223,494,59,871,452,137,19,2023-03-18-12-48
4424,1016,1324,232,499,58,1000,425,143,17,2023-03-18-13-02
4259,922,1363,243,505,66,915,396,141,17,2023-03-18-13-15
4354,941,1417,237,499,67,984,349,150,14,2023-03-18-13-31
4328,923,1449,246,529,76,947,316,149,15,2023-03-18-13-45
4116,869,1473,237,546,88,768,285,159,16,2023-03-18-13-58
4324,874,1493,244,579,83,965,233,164,16,2023-03-18-14-12
4337,896,1497,241,612,102,934,227,158,13,2023-03-18-14-26
4320,894,1504,246,622,112,913,215,158,14,2023-03-18-14-39
4177,903,1498,242,627,101,781,200,156,12,2023-03-18-14-51
4340,909,1500,238,635,98,921,204,159,12,2023-03-18-15-04
4383,925,1502,236,629,92,942,209,163,13,2023-03-18-15-21
4259,923,1517,230,613,95,810,216,168,12,2023-03-18-15-33
4312,906,1503,225,608,96,879,236,170,10,2023-03-18-15-46
4226,896,1488,233,630,97,753,270,180,9,2023-03-18-15-58
4096,878,1462,230,615,92,676,287,167,11,2023-03-18-16-11
4379,869,1476,230,634,114,866,348,171,15,2023-03-18-16-25
4222,825,1432,218,620,108,784,368,163,30,2023-03-18-16-38
4145,836,1381,193,586,104,720,442,165,15,2023-03-18-16-51
4133,802,1351,188,582,99,750,463,171,14,2023-03-18-17-04
4545,885,1344,190,536,93,1136,467,162,15,2023-03-18-17-22
4472,892,1289,192,482,92,1116,510,168,15,2023-03-18-17-40
4138,838,1268,192,465,86,895,486,174,12,2023-03-18-17-53
4347,931,1238,183,488,86,1033,471,175,11,2023-03-18-18-09
4306,905,1251,194,473,78,1019,468,177,13,2023-03-18-18-24
4391,886,1276,190,509,79,1079,442,188,11,2023-03-18-18-40
4177,851,1274,172,544,100,887,426,183,12,2023-03-18-18-53
4434,848,1294,187,565,98,1108,422,184,13,2023-03-18-19-06
4457,847,1285,182,588,113,1145,394,185,13,2023-03-18-19-21
4407,855,1277,182,589,110,1057,422,193,14,2023-03-18-19-36
4183,834,1285,180,574,106,830,436,210,14,2023-03-18-19-49
4402,834,1286,182,569,104,1069,444,185,15,2023-03-18-20-02
4201,816,1267,178,565,101,937,417,180,19,2023-03-18-20-16
3949,898,1240,176,583,95,667,362,183,16,2023-03-18-20-30
4196,893,1222,157,542,80,930,411,181,17,2023-03-18-20-55
4172,904,1196,151,516,70,875,482,179,20,2023-03-18-21-17
4167,880,1180,149,509,73,903,498,179,18,2023-03-18-21-28
4298,931,1123,145,488,64,1064,487,183,22,2023-03-18-21-44
3935,862,1089,137,485,62,797,502,177,23,2023-03-18-21-58
4132,957,1088,142,474,60,862,554,173,24,2023-03-18-22-13
4201,985,1065,141,448,59,926,579,172,26,2023-03-18-22-25
4383,999,1033,140,454,57,1094,603,174,26,2023-03-18-22-38
4114,989,1008,136,452,58,845,620,173,27,2023-03-18-22-49
4369,1037,991,134,455,58,1081,608,170,27,2023-03-18-23-01
3857,991,967,136,450,58,712,539,171,27,2023-03-18-23-11
3996,986,981,134,448,58,775,607,171,28,2023-03-18-23-23
4286,1047,950,133,446,58,1064,579,172,28,2023-03-18-23-36
3938,997,946,132,448,58,773,572,174,28,2023-03-18-23-46
4413,1052,944,133,448,58,1130,640,171,28,2023-03-18-23-58
3800,964,941,134,449,58,602,642,173,29,2023-03-19-00-09
4183,1017,944,134,448,58,913,659,174,28,2023-03-19-00-47
4218,1046,946,135,445,58,970,611,174,26,2023-03-19-01-26
3965,1018,940,128,443,58,727,637,171,29,2023-03-19-02-05
3893,981,942,129,444,57,671,662,165,28,2023-03-19-02-42
4091,995,944,132,443,56,870,645,165,29,2023-03-19-03-21
4064,1016,940,133,441,57,877,601,164,25,2023-03-19-04-07
3968,1088,969,130,447,59,646,633,161,24,2023-03-19-04-45
4107,999,939,131,513,125,906,566,161,23,2023-03-19-05-24
3748,1010,935,131,475,126,613,530,162,23,2023-03-19-05-34
3838,981,936,132,523,133,650,563,162,23,2023-03-19-05-45
3801,930,927,132,543,196,708,508,163,22,2023-03-19-05-55
4041,868,943,133,648,258,816,581,162,23,2023-03-19-06-05
3966,883,947,136,678,288,731,539,165,23,2023-03-19-06-16
4357,841,951,139,678,288,1111,588,164,24,2023-03-19-06-28
4050,775,951,142,655,288,874,607,167,21,2023-03-19-06-39
4145,816,950,143,658,291,939,592,168,22,2023-03-19-06-52
4371,863,951,144,683,293,1127,558,168,21,2023-03-19-07-03
4498,898,953,141,686,293,1191,580,169,21,2023-03-19-07-16
4454,855,960,146,679,277,1158,616,165,21,2023-03-19-07-27
