HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2577,449,1174,277,266,295,109,7,2022-11-15-19-57
2524,507,1073,260,240,329,109,6,2022-11-15-20-13
2438,521,933,242,244,382,110,6,2022-11-15-20-25
2548,617,816,236,339,418,114,8,2022-11-15-20-42
2115,712,450,155,268,399,114,17,2022-11-15-20-54
2446,790,399,147,524,455,114,17,2022-11-15-21-05
2573,873,383,141,645,403,109,19,2022-11-15-21-19
2618,901,294,175,687,438,108,15,2022-11-15-21-30
2686,915,256,170,728,490,109,18,2022-11-15-21-41
2671,908,230,163,743,500,106,21,2022-11-15-21-54
2654,882,211,193,712,531,100,25,2022-11-15-22-06
2649,883,192,190,725,527,105,27,2022-11-15-22-17
2629,895,192,169,713,522,109,29,2022-11-15-22-28
2637,908,178,170,698,548,107,28,2022-11-15-22-44
2681,888,169,175,746,568,107,28,2022-11-15-22-55
2325,759,162,175,679,415,106,29,2022-11-15-23-04
2711,923,164,175,751,562,107,29,2022-11-15-23-16
2717,927,158,178,752,566,107,29,2022-11-15-23-27
2637,881,134,178,734,574,108,28,2022-11-15-23-37
2065,652,134,178,497,467,109,28,2022-11-15-23-45
2696,936,135,178,731,582,109,25,2022-11-15-23-56
2717,937,132,178,753,581,110,26,2022-11-16-00-07
2762,939,162,178,754,592,109,28,2022-11-16-00-45
2766,942,164,178,755,586,110,31,2022-11-16-01-24
2737,943,164,179,730,583,108,30,2022-11-16-02-02
2647,877,170,179,725,564,106,26,2022-11-16-02-40
2756,938,162,178,751,595,104,28,2022-11-16-03-25
2760,932,167,179,753,598,105,26,2022-11-16-04-04
2769,942,164,179,753,595,109,27,2022-11-16-04-42
2756,951,162,179,736,595,109,24,2022-11-16-05-20
2711,952,166,181,679,599,109,25,2022-11-16-05-58
2602,956,169,177,700,468,105,27,2022-11-16-06-35
2773,968,172,179,764,564,99,27,2022-11-16-06-46
2613,986,180,183,701,445,92,26,2022-11-16-06-56
2721,962,198,196,672,576,91,26,2022-11-16-07-07
2245,728,314,204,389,493,91,26,2022-11-16-07-15
2654,592,873,222,378,477,90,22,2022-11-16-07-32
2695,452,1254,384,167,347,84,7,2022-11-16-07-46
2616,377,1361,460,122,218,71,7,2022-11-16-07-58
2545,218,1601,559,35,67,59,6,2022-11-16-08-11
2754,112,1839,635,32,84,46,6,2022-11-16-08-23
2763,101,1895,652,22,45,43,5,2022-11-16-08-33
2794,110,1870,656,73,40,40,5,2022-11-16-08-44
2775,100,1895,634,80,20,41,5,2022-11-16-08-54
