HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
2671,908,230,163,743,500,106,2022-11-15-21-54
2654,882,211,193,712,531,100,2022-11-15-22-06
2649,883,192,190,725,527,105,2022-11-15-22-17
2629,895,192,169,713,522,109,2022-11-15-22-28
2637,908,178,170,698,548,107,2022-11-15-22-44
2681,888,169,175,746,568,107,2022-11-15-22-55
2325,759,162,175,679,415,106,2022-11-15-23-04
2711,923,164,175,751,562,107,2022-11-15-23-16
2717,927,158,178,752,566,107,2022-11-15-23-27
2637,881,134,178,734,574,108,2022-11-15-23-37
2065,652,134,178,497,467,109,2022-11-15-23-45
2696,936,135,178,731,582,109,2022-11-15-23-56
2717,937,132,178,753,581,110,2022-11-16-00-07
2762,939,162,178,754,592,109,2022-11-16-00-45
2766,942,164,178,755,586,110,2022-11-16-01-24
2737,943,164,179,730,583,108,2022-11-16-02-02
2647,877,170,179,725,564,106,2022-11-16-02-40
2756,938,162,178,751,595,104,2022-11-16-03-25
2760,932,167,179,753,598,105,2022-11-16-04-04
2769,942,164,179,753,595,109,2022-11-16-04-42
2756,951,162,179,736,595,109,2022-11-16-05-20
2711,952,166,181,679,599,109,2022-11-16-05-58
2602,956,169,177,700,468,105,2022-11-16-06-35
2773,968,172,179,764,564,99,2022-11-16-06-46
2613,986,180,183,701,445,92,2022-11-16-06-56
2721,962,198,196,672,576,91,2022-11-16-07-07
2245,728,314,204,389,493,91,2022-11-16-07-15
2654,592,873,222,378,477,90,2022-11-16-07-32
2695,452,1254,384,167,347,84,2022-11-16-07-46
2616,377,1361,460,122,218,71,2022-11-16-07-58
2545,218,1601,559,35,67,59,2022-11-16-08-11
2754,112,1839,635,32,84,46,2022-11-16-08-23
2763,101,1895,652,22,45,43,2022-11-16-08-33
2794,110,1870,656,73,40,40,2022-11-16-08-44
2775,100,1895,634,80,20,41,2022-11-16-08-54
2838,111,1940,668,56,17,41,2022-11-16-09-04
2844,108,1937,664,50,37,43,2022-11-16-09-14
2843,88,1943,671,70,25,41,2022-11-16-09-24
2895,106,1980,661,58,47,38,2022-11-16-09-37
2847,55,2010,634,51,59,34,2022-11-16-09-50
2654,138,1820,506,64,82,33,2022-11-16-10-01
2802,148,1921,564,60,70,33,2022-11-16-10-19
2811,182,1893,553,73,70,34,2022-11-16-10-29
2883,202,1884,578,93,81,39,2022-11-16-10-42
2758,249,1673,598,111,79,41,2022-11-16-10-52
2901,265,1801,571,114,98,45,2022-11-16-11-01
2869,289,1709,556,123,141,44,2022-11-16-11-11
2907,307,1705,519,124,201,45,2022-11-16-11-21
2839,327,1561,520,145,236,43,2022-11-16-11-31
2828,804,766,320,431,453,45,2022-11-16-11-50
2712,965,595,238,361,476,58,2022-11-16-12-01
2780,1014,568,226,435,453,63,2022-11-16-12-12
2902,1081,497,237,546,452,68,2022-11-16-12-28
2601,1056,387,207,424,435,64,2022-11-16-12-38
2754,993,455,213,587,415,64,2022-11-16-12-50
2691,951,491,226,572,363,63,2022-11-16-13-03
2638,871,566,222,575,321,58,2022-11-16-13-16
2354,745,638,243,368,276,61,2022-11-16-13-24
2659,756,770,277,538,244,57,2022-11-16-13-34
2455,670,806,281,381,239,60,2022-11-16-13-41
2687,721,840,291,518,239,60,2022-11-16-13-52
2707,721,857,300,511,241,62,2022-11-16-14-00
2691,711,859,299,503,244,60,2022-11-16-14-08
2659,703,850,289,498,242,61,2022-11-16-14-18
2683,709,861,300,488,245,63,2022-11-16-14-26
2713,698,857,323,503,248,67,2022-11-16-14-35
2729,696,883,325,488,250,67,2022-11-16-14-45
2714,683,872,315,496,261,66,2022-11-16-14-56
2682,661,822,307,542,265,64,2022-11-16-15-06
2704,709,819,261,564,268,65,2022-11-16-15-20
2620,744,749,248,525,267,70,2022-11-16-15-28
2750,799,737,257,585,282,73,2022-11-16-15-38
2832,811,721,313,590,304,75,2022-11-16-15-50
2802,784,693,290,613,327,77,2022-11-16-15-59
2911,863,680,291,623,358,79,2022-11-16-16-08
2919,868,666,283,634,368,83,2022-11-16-16-18
